"state","countyID","prenum","party","pvoteper","svoteper"
"MN",1,5,"R",57.38,62.67
"MN",1,5,"DFL",40.88,37.33
"MN",1,15,"R",57.84,58.89
"MN",1,15,"DFL",40.54,41.11
"MN",1,25,"R",44.74,41.67
"MN",1,25,"DFL",52.63,58.33
"MN",1,35,"R",41.38,50
"MN",1,35,"DFL",51.72,50
"MN",1,40,"R",62.44,65.65
"MN",1,40,"DFL",36.92,34.35
"MN",1,50,"R",58.63,61.54
"MN",1,50,"DFL",40.77,38.46
"MN",1,60,"R",63.14,67.17
"MN",1,60,"DFL",36.36,32.66
"MN",1,70,"R",63.5,64.82
"MN",1,70,"DFL",33.84,35.18
"MN",1,80,"R",69.72,72.46
"MN",1,80,"DFL",29.36,27.54
"MN",1,85,"R",63.93,69.23
"MN",1,85,"DFL",34.43,30.77
"MN",1,95,"R",94.44,87.88
"MN",1,95,"DFL",5.56,12.12
"MN",1,105,"R",42.86,66.67
"MN",1,105,"DFL",57.14,33.33
"MN",1,115,"R",85.19,82.14
"MN",1,115,"DFL",14.81,17.86
"MN",1,125,"R",75.44,77.78
"MN",1,125,"DFL",24.56,22.22
"MN",1,132,"R",47.22,54.29
"MN",1,132,"DFL",47.22,45.71
"MN",1,140,"R",66.32,69.57
"MN",1,140,"DFL",32.63,30.43
"MN",1,150,"R",62.5,69.14
"MN",1,150,"DFL",35.23,30.86
"MN",1,160,"R",65.38,65.33
"MN",1,160,"DFL",32.05,34.67
"MN",1,170,"R",72.34,73.33
"MN",1,170,"DFL",25.53,26.67
"MN",1,180,"R",38.74,45.79
"MN",1,180,"DFL",57.66,54.21
"MN",1,190,"R",66.67,81.48
"MN",1,190,"DFL",25.93,18.52
"MN",1,200,"R",67.86,72
"MN",1,200,"DFL",32.14,28
"MN",1,210,"R",65.69,69.39
"MN",1,210,"DFL",32.84,30.1
"MN",1,220,"R",76.67,68.97
"MN",1,220,"DFL",23.33,31.03
"MN",1,230,"R",71.92,73.05
"MN",1,230,"DFL",25.34,26.95
"MN",1,255,"R",64.29,60.71
"MN",1,255,"DFL",35.71,39.29
"MN",1,285,"R",61.9,58.54
"MN",1,285,"DFL",38.1,41.46
"MN",2,5,"R",63.33,70.7
"MN",2,5,"DFL",34.74,29.02
"MN",2,15,"R",55.99,64.84
"MN",2,15,"DFL",40.91,35.16
"MN",2,25,"R",55.2,64.51
"MN",2,25,"DFL",42.31,35.45
"MN",2,35,"R",55.78,66.72
"MN",2,35,"DFL",41.28,33.16
"MN",2,45,"R",54.65,64.31
"MN",2,45,"DFL",43.16,35.69
"MN",2,105,"R",43.08,54.12
"MN",2,105,"DFL",52.94,45.77
"MN",2,115,"R",49.58,60.32
"MN",2,115,"DFL",48.42,39.6
"MN",2,125,"R",47.92,58.66
"MN",2,125,"DFL",47.18,41.15
"MN",2,135,"R",48.43,58.45
"MN",2,135,"DFL",48.51,41.55
"MN",2,205,"R",73.08,71.22
"MN",2,205,"DFL",25.87,28.78
"MN",2,310,"R",41.89,44.34
"MN",2,310,"DFL",55.27,55.36
"MN",2,320,"R",49.04,50.05
"MN",2,320,"DFL",47.88,49.73
"MN",2,330,"R",47.97,52.05
"MN",2,330,"DFL",49.64,47.95
"MN",2,340,"R",47.87,51.34
"MN",2,340,"DFL",48.85,48.57
"MN",2,410,"R",44.68,46.84
"MN",2,410,"DFL",53,52.83
"MN",2,420,"R",41.67,41.19
"MN",2,420,"DFL",55.83,58.74
"MN",2,430,"R",47.6,52.02
"MN",2,430,"DFL",50.07,47.98
"MN",2,440,"R",49.75,54.88
"MN",2,440,"DFL",48.32,44.97
"MN",2,510,"R",48.76,49.84
"MN",2,510,"DFL",48.57,49.97
"MN",2,520,"R",48.4,49.88
"MN",2,520,"DFL",49.35,50
"MN",2,530,"R",46.17,50.8
"MN",2,530,"DFL",51.48,49.14
"MN",2,540,"R",47.85,53.01
"MN",2,540,"DFL",49.76,46.78
"MN",2,705,"R",49.02,51.26
"MN",2,705,"DFL",48.29,48.65
"MN",2,805,"R",19.57,22.04
"MN",2,805,"DFL",78.59,77.85
"MN",2,815,"R",23.62,27.24
"MN",2,815,"DFL",73.69,72.6
"MN",2,825,"R",25.27,27.77
"MN",2,825,"DFL",72.46,71.86
"MN",2,835,"R",29.35,31.43
"MN",2,835,"DFL",67.92,68.4
"MN",2,905,"R",62.29,65.96
"MN",2,905,"DFL",35.42,33.93
"MN",2,1010,"R",46.86,55.87
"MN",2,1010,"DFL",50.56,44.08
"MN",2,1020,"R",44.97,44.73
"MN",2,1020,"DFL",51.84,54.93
"MN",2,1110,"R",47.04,47.48
"MN",2,1110,"DFL",49.64,52.44
"MN",2,1120,"R",47.94,49.32
"MN",2,1120,"DFL",49.34,50.51
"MN",2,1205,"R",45.55,46.27
"MN",2,1205,"DFL",50.94,53.59
"MN",2,1215,"R",40.73,41.39
"MN",2,1215,"DFL",56.11,58.34
"MN",2,1305,"R",46.21,48.12
"MN",2,1305,"DFL",51.82,51.58
"MN",2,1315,"R",43.77,45.11
"MN",2,1315,"DFL",54.26,54.63
"MN",2,1405,"R",48.49,47.72
"MN",2,1405,"DFL",48.86,51.97
"MN",2,1415,"R",41.3,42.6
"MN",2,1415,"DFL",55.82,57.3
"MN",2,1425,"R",41.58,43.63
"MN",2,1425,"DFL",55.4,56.3
"MN",2,1510,"R",65.97,69.24
"MN",2,1510,"DFL",31.25,30.68
"MN",2,1605,"R",34.67,37.28
"MN",2,1605,"DFL",63.03,62.48
"MN",2,1615,"R",28.06,29.21
"MN",2,1615,"DFL",68.9,70.45
"MN",2,1705,"R",34.1,36.82
"MN",2,1705,"DFL",62.95,63.08
"MN",2,1715,"R",31.79,35.72
"MN",2,1715,"DFL",65.46,64
"MN",2,1805,"R",34.42,36.15
"MN",2,1805,"DFL",63.59,63.6
"MN",2,1815,"R",25.29,26.28
"MN",2,1815,"DFL",70.14,73.23
"MN",2,1905,"R",61.17,64.39
"MN",2,1905,"DFL",36.62,35.46
"MN",2,1915,"R",67.11,70.74
"MN",2,1915,"DFL",30.45,29.26
"MN",2,1925,"R",62.62,69.49
"MN",2,1925,"DFL",35.16,30.51
"MN",2,2005,"R",29.26,28.78
"MN",2,2005,"DFL",66.38,70.73
"MN",2,2205,"R",54.98,56.64
"MN",2,2205,"DFL",42.94,43.28
"MN",2,2215,"R",50.48,54.25
"MN",2,2215,"DFL",47.14,45.75
"MN",2,2225,"R",47.46,52.62
"MN",2,2225,"DFL",50.57,47.38
"MN",2,2235,"R",49.04,56.63
"MN",2,2235,"DFL",48.3,43.37
"MN",2,2310,"R",62.46,64.63
"MN",2,2310,"DFL",34.56,35.29
"MN",2,2410,"R",72.03,75.05
"MN",2,2410,"DFL",26.55,24.95
"MN",2,2510,"R",69.61,72
"MN",2,2510,"DFL",28.54,28
"MN",2,2520,"R",67.31,70.28
"MN",2,2520,"DFL",31.04,29.72
"MN",2,2610,"R",63.48,70.4
"MN",2,2610,"DFL",35.18,29.6
"MN",2,2710,"R",60.98,69.1
"MN",2,2710,"DFL",36.95,30.68
"MN",2,2810,"R",56.65,62.91
"MN",2,2810,"DFL",40.33,37.09
"MN",2,2910,"R",55.61,66.24
"MN",2,2910,"DFL",41.26,33.65
"MN",2,3010,"R",69.05,70.31
"MN",2,3010,"DFL",29.2,29.59
"MN",2,3110,"R",40.77,44.94
"MN",2,3110,"DFL",56.69,54.87
"MN",3,5,"R",71.88,67.74
"MN",3,5,"DFL",23.44,32.26
"MN",3,15,"R",69.75,71.84
"MN",3,15,"DFL",28.64,27.92
"MN",3,25,"R",59.46,54.67
"MN",3,25,"DFL",40.54,45.33
"MN",3,35,"R",60.29,58.65
"MN",3,35,"DFL",37.5,41.35
"MN",3,45,"R",67.47,68.35
"MN",3,45,"DFL",29.52,31.65
"MN",3,51,"R",73.58,70.8
"MN",3,51,"DFL",24.37,29.2
"MN",3,55,"R",58.75,55.49
"MN",3,55,"DFL",38.68,44.38
"MN",3,75,"R",58.67,57.06
"MN",3,75,"DFL",38.89,42.94
"MN",3,85,"R",66.55,67.7
"MN",3,85,"DFL",31.58,32.3
"MN",3,95,"R",52.5,52.56
"MN",3,95,"DFL",45,47.44
"MN",3,105,"R",65.61,68.49
"MN",3,105,"DFL",32.13,31.51
"MN",3,115,"R",72.73,73.13
"MN",3,115,"DFL",27.05,26.87
"MN",3,125,"R",63.54,59.03
"MN",3,125,"DFL",34.97,40.97
"MN",3,135,"R",64.2,68.49
"MN",3,135,"DFL",33.64,31.51
"MN",3,145,"R",45.29,54.38
"MN",3,145,"DFL",53.81,45.16
"MN",3,155,"R",74.53,74.09
"MN",3,155,"DFL",23.41,25.91
"MN",3,165,"R",75.93,77.36
"MN",3,165,"DFL",22.22,22.64
"MN",3,175,"R",40.74,41.51
"MN",3,175,"DFL",53.7,58.49
"MN",3,185,"R",61.11,66.67
"MN",3,185,"DFL",36.11,33.33
"MN",3,195,"R",78.39,75.75
"MN",3,195,"DFL",19.41,24.25
"MN",3,205,"R",84.69,81.07
"MN",3,205,"DFL",15.31,18.93
"MN",3,215,"R",74.73,75.64
"MN",3,215,"DFL",23.81,24.36
"MN",3,225,"R",52.08,52.08
"MN",3,225,"DFL",47.92,47.92
"MN",3,235,"R",78.13,77.42
"MN",3,235,"DFL",21.88,22.58
"MN",4,5,"R",40.34,40
"MN",4,5,"DFL",58.82,60
"MN",4,15,"R",57.05,59.68
"MN",4,15,"DFL",39.81,33.69
"MN",4,25,"R",41.69,42.08
"MN",4,25,"DFL",55.9,47.87
"MN",4,32,"R",48.49,47.97
"MN",4,32,"DFL",46.9,41.79
"MN",4,40,"R",46.82,47.4
"MN",4,40,"DFL",50.45,42.94
"MN",4,50,"R",61.76,64.71
"MN",4,50,"DFL",35.29,35.29
"MN",4,60,"R",68.72,67.61
"MN",4,60,"DFL",30.17,32.39
"MN",4,70,"R",70.87,74.19
"MN",4,70,"DFL",28.35,25.81
"MN",4,80,"R",58.04,59.24
"MN",4,80,"DFL",40.34,35.93
"MN",4,90,"R",57.57,60.06
"MN",4,90,"DFL",40.39,39.86
"MN",4,100,"R",61.54,61.54
"MN",4,100,"DFL",38.46,38.46
"MN",4,110,"R",79.34,81.74
"MN",4,110,"DFL",18.18,18.26
"MN",4,120,"R",65.83,64.41
"MN",4,120,"DFL",33.33,35.59
"MN",4,130,"R",73.29,73.33
"MN",4,130,"DFL",24.63,26.36
"MN",4,140,"R",82.61,78.26
"MN",4,140,"DFL",17.39,21.74
"MN",4,150,"R",55.22,60.61
"MN",4,150,"DFL",40.3,39.39
"MN",4,160,"R",59.24,62.58
"MN",4,160,"DFL",38.22,32.9
"MN",4,170,"R",60.11,62.37
"MN",4,170,"DFL",38.32,31.95
"MN",4,175,"R",100,96.3
"MN",4,175,"DFL",0,3.7
"MN",4,185,"R",66.24,67.11
"MN",4,185,"DFL",32.04,32.89
"MN",4,195,"R",3.34,6.64
"MN",4,195,"DFL",93.79,92.42
"MN",4,202,"R",5.08,4.68
"MN",4,202,"DFL",93.22,94.33
"MN",4,210,"R",94.23,95.96
"MN",4,210,"DFL",4.81,4.04
"MN",4,220,"R",66.67,76.19
"MN",4,220,"DFL",30.95,23.81
"MN",4,230,"R",76.47,76.47
"MN",4,230,"DFL",23.53,23.53
"MN",4,240,"R",85.63,86.55
"MN",4,240,"DFL",13.79,13.45
"MN",4,250,"R",34.09,35.17
"MN",4,250,"DFL",64.41,55.13
"MN",4,260,"R",59.16,63.06
"MN",4,260,"DFL",38.96,36.94
"MN",4,270,"R",54.84,58.21
"MN",4,270,"DFL",43.87,38.25
"MN",4,280,"R",66.67,75
"MN",4,280,"DFL",26.67,25
"MN",4,290,"R",55.95,62.5
"MN",4,290,"DFL",40.48,37.5
"MN",4,300,"R",68.63,70.83
"MN",4,300,"DFL",29.41,29.17
